content,cleaned_content,score,sentiment,label_used,text_source
"Bank digital terbaik sih buatku, fitur e-Card (vcn) sama rubah kurs instannya tak tergantikan sih. Bisa belanja-belanja di luar negeri dengan mudah tanpa kartu kredit, udah gitu UI friendly dan mudah digunakan. Kita juga bisa deposito dan bagi-bagi alokasi tabungan kita dengan mudah.",bank digital terbaik sih buatku fitur ecard vcn sama rubah kurs instannya tak tergantikan sih bisa belanjabelanja di luar negeri dengan mudah tanpa kartu kredit udah gitu ui friendly dan mudah digunakan kita juga bisa deposito dan bagibagi alokasi tabungan kita dengan mudah,5,positive,positive,score_augmented
sulit aktivasi via video call. ngga niat,sulit aktivasi via video call ngga niat,1,negative,negative,score_augmented
Lama banget loginnya apk terlalu berat,lama banget loginnya apk terlalu berat,1,negative,negative,score_augmented
scam,scam,1,negative,negative,score_augmented
Kok enga bisa login dulu...kasih penjelasan donk...enga jelas gini kok..,kok enga bisa login dulukasih penjelasan donkenga jelas gini kok,1,negative,negative,score_augmented
"masukan untuk jenius,harusnya saat unlink device jgn kita disuruh bikin pin baru.. harusnya pin lama dong buat mastiin benar benar yg punya akun... lalu saat link device ko malah di suruh bikin pin yg baru lagi... aneh ga sih???",masukan untuk jeniusharusnya saat unlink device jgn kita disuruh bikin pin baru harusnya pin lama dong buat mastiin benar benar yg punya akun lalu saat link device ko malah di suruh bikin pin yg baru lagi aneh ga sih,5,positive,positive,score_augmented
Banyak biaya tersembunyi dan miskin inovasi Bangke lah..udah 3x login berhasil tapi tetap session expired. Kacau parah,banyak biaya tersembunyi dan miskin inovasi bangke lahudah x login berhasil tapi tetap session expired kacau parah,1,negative,negative,score_augmented
"Aplikasi digital perbankan yang mudah digunakan, dan tampilan menarik.. Good App",aplikasi digital perbankan yang mudah digunakan dan tampilan menarik good app,5,positive,positive,score_augmented
Excellent,excellent,5,positive,positive,score_augmented
"1 year passed and yet I'm still getting ""Your session has expired. You are now logged out automatically."" I guess I'll be leaving this nonsense.",year passed yet im still getting session expired logged automatically guess ill leaving nonsense,1,negative,negative,score_augmented
Pendaftaran ribet & harus isi npwp,pendaftaran ribet harus isi npwp,1,negative,negative,score_augmented
"Saya dipaksa buat rekening oleh marketingnya booth di mall PTC Surabaya barat, maksa bgt sampe aku lgi jalan disuruh berhenti.",saya dipaksa buat rekening oleh marketingnya booth di mall ptc surabaya barat maksa bgt sampe aku lgi jalan disuruh berhenti,1,negative,negative,score_augmented
"duh gimana ini mau login di hp baru, udah telpon ngabisin pulsa untuk unlink device, katanya akan ada email dll ini gak ada euy. ini prosedur nya susah banget asli sih, kalah sama Jago, Seabank dll. Jago telponnya via App nya langsung gak via telpon biasa yang ngabisin pulsa",duh gimana ini mau login di hp baru udah telpon ngabisin pulsa untuk unlink device katanya akan ada email dll ini gak ada euy ini prosedur nya susah banget asli sih kalah sama jago seabank dll jago telponnya via app nya langsung gak via telpon biasa yang ngabisin pulsa,1,negative,negative,score_augmented
"Aplikasi mobile banking yang mempunyai UI/UX Simple sehingga mudah digunakan. Selain itu jenius bisa digunakan untuk e wallet, top up, dan bayar netflix, spotify, serta video call.",aplikasi mobile banking yang mempunyai uiux simple sehingga mudah digunakan selain itu jenius bisa digunakan untuk e wallet top dan bayar netflix spotify serta video call,5,positive,positive,score_augmented
Aktivasi yang mudah. Hanya melalui genggaman. Tidak perlu datang ke bank. Customer service langsung video call untuk membantu proses aktivasi. Terima kasih jenius,aktivasi yang mudah hanya melalui genggaman tidak perlu datang ke bank customer service langsung video call untuk membantu prose aktivasi terima kasih jenius,5,positive,positive,score_augmented
Jenius aplikasi yg bagus ya.. soalnya bisa untuk visa transaksi ke luar negeri.. trus juga ada bnyak gratisan biaya admin. Ada promo promo juga.. 👍🏻,jenius aplikasi yg bagus ya soalnya bisa untuk visa transaksi ke luar negeri trus juga ada bnyak gratisan biaya admin ada promo promo juga,5,positive,positive,score_augmented
"I intended to see what saving plans Jenius have now, but i have issue with login. 1. I input pass and email as usual 2. I was asked to create pin for phone login 3. And after that i created pin, app said that session is expired. Then, it was redirected to page before login. It happened 3 times. Please solve this issue.",intended see saving plan jenius issue login input pas email usual asked create pin phone login created pin app said session expired redirected page login happened time please solve issue,2,negative,negative,score_augmented
"Bayar pake QRIS ribet banget, udah apikasinya lelet, ga ada pop up notification pembayaran lagi harus buka in & out dulu. Internet udah lancar, yang lelet itu aplikasi jeniusnya.",bayar pake qris ribet banget udah apikasinya lelet ga ada pop notification pembayaran lagi harus buka dulu internet udah lancar yang lelet itu aplikasi jeniusnya,1,negative,negative,score_augmented
sampah... gak bisa ganti hp,sampah gak bisa ganti hp,1,negative,negative,score_augmented
Setelah uninstalled dan download ulang langsung bener lagi.,setelah uninstalled dan download ulang langsung bener lagi,5,positive,positive,score_augmented
Aplikasinya berat,aplikasinya berat,4,positive,positive,score_augmented
"Pake mbanking nya jenius paling enak sih, soalnya bisa misahin uang buat kebutuhan sehari2 jadi uang yg masuk bisa langsung kepisah2 buat keperluan apa aja deh",pake mbanking nya jenius paling enak sih soalnya bisa misahin uang buat kebutuhan sehari jadi uang yg masuk bisa langsung kepisah buat keperluan apa aja deh,5,positive,positive,score_augmented
"Calon user baru, lebih baik tidak menggunakan jenius, aplikasi semakin buruk, dan respon pelayanan sangat lambat",calon user baru lebih baik tidak menggunakan jenius aplikasi semakin buruk dan respon pelayanan sangat lambat,1,negative,negative,score_augmented
Aplikasi perbanka yang paling bagus,aplikasi perbanka yang paling bagus,5,positive,positive,score_augmented
Kenapa app sekarang pakai waktu malam malah sering tiba-tiba keluar dari app sedang melakukan transaksi tarik flexi saver ampun dah parah banget dah Dua jam coba begitu mulu,kenapa app sekarang pakai waktu malam malah sering tibatiba keluar dari app sedang melakukan transaksi tarik flexi saver ampun dah parah banget dah dua jam coba begitu mulu,1,negative,negative,score_augmented
"Forget password paling kocak, butuh nomor ccv, ccv nya mesti liatnya pake password",forget password paling kocak butuh nomor ccv ccv nya mesti liatnya pake password,1,negative,negative,score_augmented
Imagine having notifications category that actually works,imagine notification category actually work,1,negative,negative,score_augmented
Halo jenius disini saya review jujur aplikasi ini dengan banyaknya kelebihan yang dimiliki. Namun dilain sisi kok malah saya lebih sering merasa kerepotan sendiri gara gara aplikasi jenius ini. Contoh di kasus seperti user yang ganti tidak bisa login kembali ke akun lamanya. Itu membuat saya frustasi hingga akhirnya saya memutuskan untuk instal ulang aplikasi ini namun tetap sama saja. Mohon untuk tim jenius lebih diperhatikan bug seperti ini supaya user lebih nyaman.,halo jenius disini saya review jujur aplikasi ini dengan banyaknya kelebihan yang dimiliki namun dilain sisi kok malah saya lebih sering merasa kerepotan sendiri gara gara aplikasi jenius ini contoh di kasus seperti user yang ganti tidak bisa login kembali ke akun lamanya itu membuat saya frustasi hingga akhirnya saya memutuskan untuk instal ulang aplikasi ini namun tetap sama saja mohon untuk tim jenius lebih diperhatikan bug seperti ini supaya user lebih nyaman,1,negative,negative,score_augmented
Aplikasi ini membantu saya mengelola tabungan saya dengan beberapa fitur tabungan di dalamnya. Sangat sederhana dan sangat mudah untuk pembelian online. ga nyesel pake Jenius!!!!,aplikasi ini membantu saya mengelola tabungan saya dengan beberapa fitur tabungan di dalamnya sangat sederhana dan sangat mudah untuk pembelian online ga nyesel pake jenius,5,positive,positive,score_augmented
jenius sekarang ada biaya adminnya,jenius sekarang ada biaya adminnya,1,negative,negative,score_augmented
"aktivasi di Jenius lebih gampang, selain bisa menabung juga bisa top up dan jadi e-wallet juga. terima kasih Jenius",aktivasi di jenius lebih gampang selain bisa menabung juga bisa top dan jadi ewallet juga terima kasih jenius,5,positive,positive,score_augmented
Lemot banget aplikasinya,lemot banget aplikasinya,1,negative,negative,score_augmented
Aplikasi keterlaluan berat,aplikasi keterlaluan berat,1,negative,negative,score_augmented
"Good, easy to use revamp ui ux",good easy use revamp ui ux,4,positive,positive,score_augmented
"Lemot banget.. udah pake 3 tahun tp ga upgrade2.. Login lama, buka ini itu lama, transfer lama..",lemot banget udah pake tahun tp ga upgrade login lama buka ini itu lama transfer lama,1,negative,negative,score_augmented
Cannot login,cannot login,1,negative,negative,score_augmented
Good good good,good good good,5,positive,positive,score_augmented
"Cant log in using other device, keeps logging me out saying session is expired. Pls fix",cant log using device keep logging saying session expired pls fix,1,negative,negative,score_augmented
Nama penerima transfer tak tertera di riwayat transaksi. Nama yg mungil db outgoing. Tidak bisa jadi bukti transaksi,nama penerima transfer tak tertera di riwayat transaksi nama yg mungil db outgoing tidak bisa jadi bukti transaksi,1,negative,negative,score_augmented
"Aplikasi jenius ini bener ngebantu buat top up akun yang dari aplikasi kaya hulu netflix dan spotify , selain itu ui ux nya simple banget dan proses nabung nya pun cepet Pokoknya top deh....",aplikasi jenius ini bener ngebantu buat top akun yang dari aplikasi kaya hulu netflix dan spotify selain itu ui ux nya simple banget dan prose nabung nya pun cepet pokoknya top deh,5,positive,positive,score_augmented
"The app's performance doesn't live up to the name, how very unfortunate. I can't even login~",apps performance doesnt live name unfortunate cant even login,1,negative,negative,score_augmented
"aplikasi digital banking yang sangat bagus, interface nya juga sangat oke. tapi entah ke apa baik aplikasi maupun website agak lambat. mudah mudahan bisa diperbaiki ke depannya. 16/10/22 Change limit tidak berfungsi",aplikasi digital banking yang sangat bagus interface nya juga sangat oke tapi entah ke apa baik aplikasi maupun website agak lambat mudah mudahan bisa diperbaiki ke depannya change limit tidak berfungsi,2,negative,negative,score_augmented
Bagus banget dan memudahkan untuk pesan pesan..,bagus banget dan memudahkan untuk pesan pesan,5,positive,positive,score_augmented
"Login di hp baru, setelah enter PIN selalu logout ""Your session has expired"" Tidak bisa akses ke jenius.",login di hp baru setelah enter pin selalu logout session expired tidak bisa akses ke jenius,1,negative,negative,score_augmented
najis,najis,1,negative,negative,score_augmented
Always got force closed after a login session.,always got force closed login session,1,negative,negative,score_augmented
Aplikasinya lemot. Dri dlu ga berbenah,aplikasinya lemot dri dlu ga berbenah,1,negative,negative,score_augmented
"It's a scam bank, cost me IDR 90.000 twice only for taxes & fees, I rarely use this app, probably only once a month for digital debit card, but everytime I store money in the balance, it will automatically take my money out of nowehere in sake of taxes & fee, I don't even use this bank frequently. What kind of bank does that?",scam bank cost idr twice tax fee rarely use app probably month digital debit card everytime store money balance automatically take money nowehere sake tax fee dont even use bank frequently kind bank,1,negative,negative,score_augmented
"Wasting time by dealing registration twice, and calling cs for data cleansing between that, still didnt meet requirement. Can i rate 0 star instead if available?",wasting time dealing registration twice calling c data cleansing still didnt meet requirement rate star instead available,1,negative,negative,score_augmented
"Jenius, aplikasi ini sangat membantu mengatur keuangan saya, financial saya menjadi teratur, saya bisa top up berbagai aplikasi dari jenius. Saya juga bisa menabung",jenius aplikasi ini sangat membantu mengatur keuangan saya financial saya menjadi teratur saya bisa top berbagai aplikasi dari jenius saya juga bisa menabung,5,positive,positive,score_augmented
"Jenius keren banget, aplikasi ini memudahkan saya untuk membayar tagihan Netflix dan Spotify dengan mudah via m-banking. Di apliksi ini juga bisa nabung dan melakukan transaksi lainnya",jenius keren banget aplikasi ini memudahkan saya untuk membayar tagihan netflix dan spotify dengan mudah via mbanking di apliksi ini juga bisa nabung dan melakukan transaksi lainnya,5,positive,positive,score_augmented
"I dont know where is logic for unlink device should email/chat, and funny momment for chat should login... nice logic....",dont know logic unlink device emailchat funny momment chat login nice logic,1,negative,negative,score_augmented
Cannot login to my new phone,cannot login new phone,1,negative,negative,score_augmented
"transaksi di aplikasi jenius emang top banget! semua transaksi online pake e wallet jenius aman dan mudah banget . saya biasanya beli langganan spotify, netflix, hingga transaksi di antar bank menggunakan jenius!",transaksi di aplikasi jenius emang top banget semua transaksi online pake e wallet jenius aman dan mudah banget saya biasanya beli langganan spotify netflix hingga transaksi di antar bank menggunakan jenius,5,positive,positive,score_augmented
"Aplikasi e wallet yang berguna, bisa digunakan untuk pembayaran netflix bahkan spotify",aplikasi e wallet yang berguna bisa digunakan untuk pembayaran netflix bahkan spotify,5,positive,positive,score_augmented
Terpaksa download gara gara salesnya maksa,terpaksa download gara gara salesnya maksa,1,negative,negative,score_augmented
Doesnt work,doesnt work,5,positive,positive,score_augmented
"Mantap Jenius, transaksi online mudah pakai Kartu Debit Jenius 👍",mantap jenius transaksi online mudah pakai kartu debit jenius,5,positive,positive,score_augmented
"I created the account on the 30th, so one month of the free period was immediately wasted.",created account th one month free period immediately wasted,1,negative,negative,score_augmented
"Complete fiture, easy to use and free admin bank",complete fiture easy use free admin bank,5,positive,positive,score_augmented
"Lemot bgt sering crash pula,Dev apps nya digaji kecil apa gimana dah,gak niat bgt bikin apps sekelas bank.",lemot bgt sering crash puladev apps nya digaji kecil apa gimana dahgak niat bgt bikin apps sekelas bank,2,negative,negative,score_augmented
"Account linked to old device, don't know which one, but the unlink process is so smooth that I can access the account from my new device in very short time. Excellent service. I really hope BTPN already create more good products. Unfortunately, it is still same old same old. Investment only in mutual funds? Come on BTPN.",account linked old device dont know one unlink process smooth access account new device short time excellent service really hope btpn already create good product unfortunately still old old investment mutual fund come btpn,5,positive,positive,score_augmented
"the services are good. the features are good. but the app performance is terrible. it's so slow, takes 10-30 second just to open a new page. the errors often occur too. I've been using this app for almost 2 years now, and they still haven't fixed this issue since then. I thought that this version would be better than the last version, but it's just as slow. it's frustrating. they should put users comfort their top priority instead of just pretty user interface.",service good feature good app performance terrible slow take second open new page error often occur ive using app almost year still havent fixed issue since thought version would better last version slow frustrating put user comfort top priority instead pretty user interface,3,neutral,neutral,score_augmented
"Enak banget jenius debut cardnya langsung dikirim ke rumah, mantap",enak banget jenius debut cardnya langsung dikirim ke rumah mantap,5,positive,positive,score_augmented
"bank aneh, waktu itu lagi main ke king lagi laper banget, tiba tiba di cegat sama mba mba jenius katanya minta waktunya sebentar udah dibilang kalau gua sama temen gua lagi laper bngt nanti balik lagi, tapi malah maksa akhirnya kita ikutin mana sambil narik narik, taunya ngabisin waktu 2 jam asam lambung gua udh naik, mana harus buka akun dengan syarat 1 jt padahal dr awal bilangnya gada syarat buat buka akun, soalnya cuma butuh ktp doang hlh",bank aneh waktu itu lagi main ke king lagi laper banget tiba tiba di cegat sama mba mba jenius katanya minta waktunya sebentar udah dibilang kalau gua sama temen gua lagi laper bngt nanti balik lagi tapi malah maksa akhirnya kita ikutin mana sambil narik narik taunya ngabisin waktu jam asam lambung gua udh naik mana harus buka akun dengan syarat jt padahal dr awal bilangnya gada syarat buat buka akun soalnya cuma butuh ktp doang hlh,1,negative,negative,score_augmented
"So for anyone having problems logging in after changing devices, you should contact Jenius Call Center to ask them to wipe your previously registered device.",anyone problem logging changing device contact jenius call center ask wipe previously registered device,3,neutral,neutral,score_augmented
The worst digital bank ever,worst digital bank ever,1,negative,negative,score_augmented
Aplikasi nya keren dan mudah digunakan dalam mengelola keuangan saya. Terima kasih jenius.,aplikasi nya keren dan mudah digunakan dalam mengelola keuangan saya terima kasih jenius,5,positive,positive,score_augmented
"Can't login, cmoooon fix this",cant login cmoooon fix,1,negative,negative,score_augmented
"Nice! Aplikasi yang sangat membantu. Saya bisa top up shopeepay, Spotify, dan YouTube subscription. aplikasinya mudah digunakan. Mantap(◠‿・)—☆",nice aplikasi yang sangat membantu saya bisa top shopeepay spotify dan youtube subscription aplikasinya mudah digunakan mantap,5,positive,positive,score_augmented
App perbankan yang paling baik dan aman,app perbankan yang paling baik dan aman,5,positive,positive,score_augmented
"aktivasi keren pakai video call, buka rekening jadi mudah dan cepet banget dimanapun kita berada. thanks jenius",aktivasi keren pakai video call buka rekening jadi mudah dan cepet banget dimanapun kita berada thanks jenius,5,positive,positive,score_augmented
"Memang bank lansia! Aplikasi lamban dan menguras baterai, kek lansia yg sudah mau mati. CS juga tidak responsif, lalod kek kakek nenek, kentara skali gaji buta. Banknya juga sudah mau mati jika dapen2 dipindah ke bank himbara. Panatas dapat bintang 0! Aplikasi lolok Memang 😁",memang bank lansia aplikasi lamban dan menguras baterai kek lansia yg sudah mau mati c juga tidak responsif lalod kek kakek nenek kentara skali gaji buta banknya juga sudah mau mati jika dapen dipindah ke bank himbara panatas dapat bintang aplikasi lolok memang,1,negative,negative,score_augmented
Login diulang2 masuk verif. Dah lah uninstall aja,login diulang masuk verif dah lah uninstall aja,1,negative,negative,score_augmented
"Aplikasi mudah untuk digunakan, mudah untk melakukan aktivasi, dan merupakan e-wallet yg membantu dlm melakukan pembayaran online, seperti netflix dan spotify. Selain itu, kita jg dapat menabung.",aplikasi mudah untuk digunakan mudah untk melakukan aktivasi dan merupakan ewallet yg membantu dlm melakukan pembayaran online seperti netflix dan spotify selain itu kita jg dapat menabung,5,positive,positive,score_augmented
"Sebagai mahasiswa, jenius sangat membantu dalam mengatur keuangan saya. Jenius juga membantu saya dalam menabung dengan mudah. Terimakasih jenius",sebagai mahasiswa jenius sangat membantu dalam mengatur keuangan saya jenius juga membantu saya dalam menabung dengan mudah terimakasih jenius,5,positive,positive,score_augmented
"Aplikasi Jenius sama seperti bank jadi sangat bagus untuk digunakan menabung bahkan seperti mbanking,apalagi jenius ini sudah banyak e-wallet yang terkait,juga kita sangat gampang untuk topup apapun contohnya seperti spotify,netflix dan masih banyak lagi",aplikasi jenius sama seperti bank jadi sangat bagus untuk digunakan menabung bahkan seperti mbankingapalagi jenius ini sudah banyak ewallet yang terkaitjuga kita sangat gampang untuk topup apapun contohnya seperti spotifynetflix dan masih banyak lagi,5,positive,positive,score_augmented
"Mau nutup rekening aja ribet udah nelpon 3 kali, ngasih tau data diri ini itu, pulsa kesedot banyak banget, akhir2nya mesti ke bank juga, gajelas banget, kalau misal ga bisa nutup lewat telpon ga usah buka deh service penutupan rekening lewat telpon, ngabis2in pulsa aja",mau nutup rekening aja ribet udah nelpon kali ngasih tau data diri ini itu pulsa kesedot banyak banget akhirnya mesti ke bank juga gajelas banget kalau misal ga bisa nutup lewat telpon ga usah buka deh service penutupan rekening lewat telpon ngabisin pulsa aja,1,negative,negative,score_augmented
I really think the transfer menu can be majorly improved by making small tweaks. Get rid of the gray font and make the menu more high contrast for start. It still looks outdated thus far despite some other menus looking good.,really think transfer menu majorly improved making small tweak get rid gray font make menu high contrast start still look outdated thus far despite menu looking good,4,positive,positive,score_augmented
So far so good 👍,far good,5,positive,positive,score_augmented
"Keren banget, aplikasi digital perbankan paling baik, recomended buat di download, gak bakalan nyesel deh",keren banget aplikasi digital perbankan paling baik recomended buat di download gak bakalan nyesel deh,5,positive,positive,score_augmented
Jenius merupakan aplikasi tabungan dari Bank BTPN yang sangat menarik dan inovatif. Salah satu fitur Jenius yang sangat menarik dan inovatif adalah fitur tabungan dan juga kelola tabungan.  Fitur ini mempermudah saya dalam mengatur keuangan.,jenius merupakan aplikasi tabungan dari bank btpn yang sangat menarik dan inovatif salah satu fitur jenius yang sangat menarik dan inovatif adalah fitur tabungan dan juga kelola tabungan fitur ini mempermudah saya dalam mengatur keuangan,5,positive,positive,score_augmented
"Aplikasi mbangking yang baguss, ga perlu ribet keluar rumah klo mau transfer, UI UX simple ga ribet. Mantaps pokoknya Jenius!!",aplikasi mbangking yang baguss ga perlu ribet keluar rumah klo mau transfer ui ux simple ga ribet mantaps pokoknya jenius,5,positive,positive,score_augmented
aplikasi bank yang proses aktivasinya mudah dan cepet ditambah desain UI UX yang simple jadi mudah dimengerti,aplikasi bank yang prose aktivasinya mudah dan cepet ditambah desain ui ux yang simple jadi mudah dimengerti,5,positive,positive,score_augmented
"Unable to register, they said missing important document as per email, cant login even using fingerprint",unable register said missing important document per email cant login even using fingerprint,1,negative,negative,score_augmented
"I cant log in?? everytime i tried, error occured. how am i supposed to use the app? my goodness",cant log everytime tried error occured supposed use app goodness,1,negative,negative,score_augmented
Aplikasi e wallet jenius sangat mudah untuk digunakan,aplikasi e wallet jenius sangat mudah untuk digunakan,5,positive,positive,score_augmented
Eh kenapa nih kok ga bisa login di device baru. Pas udah berhasil login keterangan sesi habis logout otomatis hmmm,eh kenapa nih kok ga bisa login di device baru pa udah berhasil login keterangan sesi habis logout otomatis hmmm,2,negative,negative,score_augmented
butut,butut,1,negative,negative,score_augmented
"Setiap mau pake aplikasi dan urgent, selalu eror....",setiap mau pake aplikasi dan urgent selalu eror,2,negative,negative,score_augmented
"Aplikasi Jenius sangat membantu dalam aktivitas sehari-hari, dan tampilan UI UX simple",aplikasi jenius sangat membantu dalam aktivitas seharihari dan tampilan ui ux simple,5,positive,positive,score_augmented
"Desain yang bagus, elegan, dan sangat berguna. Hampir semua aspek keuangan dapat dilakukan dengan aplikasi ini, mulai dari membuat rekening bank, transaksi dengan bank lain tanpa biaya tambahan, hingga menabung dengan imbal hasil yang tinggi.",desain yang bagus elegan dan sangat berguna hampir semua aspek keuangan dapat dilakukan dengan aplikasi ini mulai dari membuat rekening bank transaksi dengan bank lain tanpa biaya tambahan hingga menabung dengan imbal hasil yang tinggi,5,positive,positive,score_augmented
"Flexi saver really save my life, I hope lot of promo come in the in future",flexi saver really save life hope lot promo come future,5,positive,positive,score_augmented
Cant login to another phone. So I stuck with this app in my old phone.,cant login another phone stuck app old phone,1,negative,negative,score_augmented
"once i get success message on trf (have an ss) only to know later it is cancelled resulting overdue fee payment. complained to cs but it sucks, it will automatically end the session if we idle by 1 min even though we are the one that is waiting for CS to response, so we need to stand by on our phone waiting and the last time i wait until 20 min with still unanswered question and i tried to e-mail them only to be told to raise the issue by phone or chat via the apps, tried the phone but no answer",get success message trf s know later cancelled resulting overdue fee payment complained c suck automatically end session idle min even though one waiting c response need stand phone waiting last time wait min still unanswered question tried email told raise issue phone chat via apps tried phone answer,1,negative,negative,score_augmented
Waktu mau login di hp baru session expired terus,waktu mau login di hp baru session expired terus,1,negative,negative,score_augmented
Aplikasi finansial yg sangat baik,aplikasi finansial yg sangat baik,5,positive,positive,score_augmented
"Aplikasi mobile banking yang memberikan banyak kemudahan. Simple but classy. Selain ramah segala jenis metode pembayaran, promonya juga bikin happy!!!",aplikasi mobile banking yang memberikan banyak kemudahan simple classy selain ramah segala jenis metode pembayaran promonya juga bikin happy,5,positive,positive,score_augmented
"Saya mau unlink device karna hp saya rusak dan hub. CS infonya ada data yang kurang atau tidak benar, saya tanya apa yang kurang / tidak benar, CS bilang tidak tau dan info agar saya ke counter ?? Keunggulan jenius bukannya virtual bank? App bank lain saya pindah ke HP bisa tanpa telpon2 CS !",saya mau unlink device karna hp saya rusak dan hub c infonya ada data yang kurang atau tidak benar saya tanya apa yang kurang tidak benar c bilang tidak tau dan info agar saya ke counter keunggulan jenius bukannya virtual bank app bank lain saya pindah ke hp bisa tanpa telpon c,1,negative,negative,score_augmented
Lemoooottt parah,lemoooottt parah,1,negative,negative,score_augmented
spg nya maksa,spg nya maksa,1,negative,negative,score_augmented
Mantap,mantap,5,positive,positive,score_augmented
"Aplikasi broken, mau login aja susahnya minta ampun, nunggu kode autentikasi via sms lah terus disuruh bikin pin lah. Begitu dah bikin tiba tiba keluar, gitu aja terus sampe sampe kiamat",aplikasi broken mau login aja susahnya minta ampun nunggu kode autentikasi via sm lah terus disuruh bikin pin lah begitu dah bikin tiba tiba keluar gitu aja terus sampe sampe kiamat,1,negative,negative,score_augmented
aplikasi digital yang menurut gue bagus & simple tapi elegant.,aplikasi digital yang menurut gue bagus simple tapi elegant,5,positive,positive,score_augmented
"Salah satu inovasi terbaru sih. Membantu banget, canggih dan gampang dimengerti. Keren dan gampang dipakai juga. Rekomended deh.",salah satu inovasi terbaru sih membantu banget canggih dan gampang dimengerti keren dan gampang dipakai juga rekomended deh,5,positive,positive,score_augmented
CS LAMA BANYAK BRIDGING PULSA SAMPE ABIS,c lama banyak bridging pulsa sampe abis,1,negative,negative,score_augmented
jenius memudahkan saya untuk menabung. gak ribet deh pokoknya. bakal terus nabung di sini 👍,jenius memudahkan saya untuk menabung gak ribet deh pokoknya bakal terus nabung di sini,5,positive,positive,score_augmented
Mantab,mantab,4,positive,positive,score_augmented
