content,cleaned_content,score,sentiment,label_used
"Aplikasinya sangat berguna sekali, mudah dalam aktivasi jadi tidak perlu ke bank. Selain itu juga transaksinya bisa via mobile banking loh jadi mudah untuk melakukan transaksi tinggal buka aplikasi langsung online, sudah seperti itu, bisa transaksi yg lainnya seperti e-wallet, UI UX Simple, debit card, top up, video call, Netflix, Spotify. Yuk menabung di Jenius biar safety!",aplikasinya sangat berguna sekali mudah dalam aktivasi jadi tidak perlu ke bank selain itu juga transaksinya bisa via mobile banking loh jadi mudah untuk melakukan transaksi tinggal buka aplikasi langsung online sudah seperti itu bisa transaksi yg lainnya seperti ewallet ui ux simple debit card top video call netflix spotify yuk menabung di jenius biar safety,5,positive,positive
"Tolong aja ya kan, makin lama makin lelet bener dah...",tolong aja ya kan makin lama makin lelet bener dah,4,positive,positive
"Mau ubah limit transaksi kartu, loading progress muter-muter nggak henti. Saya butuh untuk transaksi! Aplikasinya juga lambat.",mau ubah limit transaksi kartu loading progress mutermuter nggak henti saya butuh untuk transaksi aplikasinya juga lambat,1,negative,negative
I can't log in to my account. Fix the application please. My boyfriend has money on his account but he couldn't log in.,cant log account fix application please boyfriend money account couldnt log,1,negative,negative
"I forgot my password just a while a go, and its annoying and unnecessary the steps were, already the call center 3x with no help at all, wasting my mobile.data, and then chat help center, already provided my full data, which they verify that takes a lot of time as well, and then they tell me they will send an email 2 days later with link that is only active for 30 minutes since it was sent. And the worst thing is they cant give certainty at what times the email will be sent",forgot password go annoying unnecessary step already call center x help wasting mobiledata chat help center already provided full data verify take lot time well tell send email day later link active minute since sent worst thing cant give certainty time email sent,2,negative,negative
"Aplikasi bank online yang kekinian, mempunyai UI UX yang simple dan memudahkan dalam bertransaksi online. Mantap!",aplikasi bank online yang kekinian mempunyai ui ux yang simple dan memudahkan dalam bertransaksi online mantap,5,positive,positive
"aplikasi yang sangat dibutuhkan di jaman sekarang, dengan fitur lengkap. kita bisa top up dengan qr scan sehingga elbih cepat dan transaksi gratis",aplikasi yang sangat dibutuhkan di jaman sekarang dengan fitur lengkap kita bisa top dengan qr scan sehingga elbih cepat dan transaksi gratis,5,positive,positive
"Aplikasi digital bank yang rekomended, buat kalian yang suka top up e wallet cocok banget, proses top up mudah, cepat, juga utama nya proses pembukaan rekening nya tidak ribet",aplikasi digital bank yang rekomended buat kalian yang suka top e wallet cocok banget prose top mudah cepat juga utama nya prose pembukaan rekening nya tidak ribet,5,positive,positive
"Gak bisa login di device baru, selalu muncul ""oops, your session has expired"" mengesalkan",gak bisa login di device baru selalu muncul oops session expired mengesalkan,1,negative,negative
"Aplikasinya lengkap banget,, fitur²nya banyak dan sudah terpercaya,, aktivasi nya juga mudah👍🏻👍🏻",aplikasinya lengkap banget fiturnya banyak dan sudah terpercaya aktivasi nya juga mudah,5,positive,positive
ga bisa reset password,ga bisa reset password,1,negative,negative
this app is very easy to access because the UI/UX is simple and makes payment for any social apps (such as netflix or spotify) more efficient👍,app easy access uiux simple make payment social apps netflix spotify efficient,5,positive,positive
Edited setelah beberapa issues. cs jenius melayani dengan baik,edited setelah beberapa issue c jenius melayani dengan baik,5,positive,positive
"Secara aplikasi perbankan seharusnya bagus dan cepat. Tapi Jenius ini sangat buruk dan jauh lebih buruk lagi karena tidak bisa login dan selalu crash di awal. Pertimbangkan ulang bagi yang mau buka akun di Jenius, sangat buruk",secara aplikasi perbankan seharusnya bagus dan cepat tapi jenius ini sangat buruk dan jauh lebih buruk lagi karena tidak bisa login dan selalu crash di awal pertimbangkan ulang bagi yang mau buka akun di jenius sangat buruk,1,negative,negative
"Bad aplication, Its difficult to reset password",bad aplication difficult reset password,2,negative,negative
"Semakin lama semakin ga memuaskan. Pelayanan bertele tele, aplikasi lambat kaya siput, sering error. Udh make hampir 4 tahun dan sudah dikecewakan berulang2 oleh Jenius. Semoga berbenah.",semakin lama semakin ga memuaskan pelayanan bertele tele aplikasi lambat kaya siput sering error udh make hampir tahun dan sudah dikecewakan berulang oleh jenius semoga berbenah,1,negative,negative
"updatenya bikin crash saat mau lihat e-card number.. lngsung app crash, tolong codingnya dibenerin ya.. kalau bisa semua versi android bisa dimasukkan.. versi tampilan lama lebih baik ketimbang yg sekarang.",updatenya bikin crash saat mau lihat ecard number lngsung app crash tolong codingnya dibenerin ya kalau bisa semua versi android bisa dimasukkan versi tampilan lama lebih baik ketimbang yg sekarang,1,negative,negative
I cannot login and it says session expired every time i did login authentication (from login through otp verification and create new pin for device),cannot login say session expired every time login authentication login otp verification create new pin device,1,negative,negative
Gak Bisa login setelah memasukan pin malah dibilang sesi login telah habis mohon solusinya,gak bisa login setelah memasukan pin malah dibilang sesi login telah habis mohon solusinya,2,negative,negative
"Kecewa dengan layanan JENIUS, Sudah bertahun tahun pakai jenius tiba tiba tanggal 21 sep ada potongan 90 ribu feesible. Luar biasa. Saya chat online katanya ini berlaku sejak Januari. Kenapa tiba2 baru dicharge sekarang? Cs online bilang ada blast email .. saya cek tidak ada email dr jenius yang isi nya soal feesible. Terselubung sekali. Nah bagaimana caranya tutup akun jenius permanent? Maaf ini bukan soal 90 ribu tapi soal layanan yang tidak jelas tanpa notif dan informasi yang jelas ke saya.",kecewa dengan layanan jenius sudah bertahun tahun pakai jenius tiba tiba tanggal sep ada potongan ribu feesible luar biasa saya chat online katanya ini berlaku sejak januari kenapa tiba baru dicharge sekarang c online bilang ada blast email saya cek tidak ada email dr jenius yang isi nya soal feesible terselubung sekali nah bagaimana caranya tutup akun jenius permanent maaf ini bukan soal ribu tapi soal layanan yang tidak jelas tanpa notif dan informasi yang jelas ke saya,1,negative,negative
"Udah 5 tahun pakai jenius, aplikasinya makin lemot, buat login aja susahnya minta ampun. Tolong dong diperbaiki, dulu ga kayak gini",udah tahun pakai jenius aplikasinya makin lemot buat login aja susahnya minta ampun tolong dong diperbaiki dulu ga kayak gini,1,negative,negative
Applikasi jenius semakin kesini semakin lambat!! Loading display login saja perlu waktu diatas 30 detik.,applikasi jenius semakin kesini semakin lambat loading display login saja perlu waktu diatas detik,1,negative,negative
"I have a good experience with the app, but this time, it seems like there's a bug in the UI. When i do nothing, the text ""IDR"" in the home screen shrinking by its own. The same happens with text ""KARTU DEBIT"" in the cards screen. It's a minor bug for me, but i hope it will get fixed soon. Overall, the app is good and usable.",good experience app time seems like there bug ui nothing text idr home screen shrinking happens text kartu debit card screen minor bug hope get fixed soon overall app good usable,5,positive,positive
Aplikasinya bagus sangat bermanfaat sekali untuk saya,aplikasinya bagus sangat bermanfaat sekali untuk saya,5,positive,positive
kapan bangkrut?,kapan bangkrut,1,negative,negative
"Aplikasi e wallet yg sangat simple dan sangat mudah untuk digunakan. Mantab, makasih jenius!😍",aplikasi e wallet yg sangat simple dan sangat mudah untuk digunakan mantab makasih jenius,5,positive,positive
"aplikasi ini membantu dan gampang banget. aktivasinya gampang, ngebantu bgt untuk menabung, bener bener ngebantu aku buat ngurus financial aku. terus bisa dikonekin jugaa. ke ewallet ke m-banking. pokoknya enak bgt dehh",aplikasi ini membantu dan gampang banget aktivasinya gampang ngebantu bgt untuk menabung bener bener ngebantu aku buat ngurus financial aku terus bisa dikonekin jugaa ke ewallet ke mbanking pokoknya enak bgt dehh,5,positive,positive
"Gunakan pin untuk verifikasi transaksi, jangan password karena terlalu ribet dan juga tidak bisa autofill dengan samsung pass",gunakan pin untuk verifikasi transaksi jangan password karena terlalu ribet dan juga tidak bisa autofill dengan samsung pas,4,positive,positive
"App is soooo slowwwwwww, my phone samsung j7 pro, improve performance please",app soooo slo phone samsung j pro improve performance please,1,negative,negative
Aplikasi perbankan kekinian yang sesuai dengan kebutuhan milenial saat ini,aplikasi perbankan kekinian yang sesuai dengan kebutuhan milenial saat ini,5,positive,positive
Aplikasinga cukup simple hanya untuk pindah ke device baru yang aga repot,aplikasinga cukup simple hanya untuk pindah ke device baru yang aga repot,4,positive,positive
Jenius emang aplikasi menabung online yang paling aman dan terpercaya👍,jenius emang aplikasi menabung online yang paling aman dan terpercaya,5,positive,positive
Log in. Otomatis keluar. Keterangan selalu sesi berakhir.,log otomatis keluar keterangan selalu sesi berakhir,1,negative,negative
Sekarang ada feesible 10k per bulan,sekarang ada feesible k per bulan,1,negative,negative
"Dari segi layanan bank, Jenius sesuai dgn preferensi saya. Dari segi app, cukup praktis ya kalo mau bertransaksi, bisa dr halaman mana aja tinggal klik tombol biru. Sayangnya, app-nya berasa berat benerr (saya pede kalo koneksi internet saya bagus). Jangankan transaksi keluar rekening, mau pindahin saldo antara Saldo Aktif, Debit, & Save It aja makan waktu bgt 😅 selain itu, menurut saya, kartu2an bisa diakses via Wealth & Card Center itu rasanya... mubazir(?). Sekian terimagaji",dari segi layanan bank jenius sesuai dgn preferensi saya dari segi app cukup praktis ya kalo mau bertransaksi bisa dr halaman mana aja tinggal klik tombol biru sayangnya appnya berasa berat benerr saya pede kalo koneksi internet saya bagus jangankan transaksi keluar rekening mau pindahin saldo antara saldo aktif debit save aja makan waktu bgt selain itu menurut saya kartuan bisa diakses via wealth card center itu rasanya mubazir sekian terimagaji,4,positive,positive
"Feature split bill ga jalan, terjadi kesalahan terus",feature split bill ga jalan terjadi kesalahan terus,4,positive,positive
"aplikasi perbankan yang mudah dipakai, ga nyesel pake jeniussss",aplikasi perbankan yang mudah dipakai ga nyesel pake jeniussss,5,positive,positive
"This app is very good and recommendation. There are many features that can be used for video calls, m-banking, etc. Hurry download now.",app good recommendation many feature used video call mbanking etc hurry download,5,positive,positive
fitur nya membantu yg untuk pembayaran virtual LN yang tidak punya CC,fitur nya membantu yg untuk pembayaran virtual ln yang tidak punya cc,5,positive,positive
"Susah masuk pas ganti ponsel. Your session has expired, terus aja begitu.",susah masuk pa ganti ponsel session expired terus aja begitu,1,negative,negative
"despite the clean UX and nice features, the app is often irresponsive and it gets really frustrating to use.",despite clean ux nice feature app often irresponsive get really frustrating use,1,negative,negative
Aplikasinya bagus banget dan bikin aku makin rajin buat menabung. Makasih jenius!,aplikasinya bagus banget dan bikin aku makin rajin buat menabung makasih jenius,5,positive,positive
"Semakin buruk layanannya. Chat hanya dengan BOT BUKAN MANUSIA. Udah ada feesible 10 ribu tiap bulan, TAPI PELAYANAN MAKIN MENGECEWAKAN. BYE JENIUS. SAYA TIDAK LAGI MENJADI NASABAH ANDA.",semakin buruk layanannya chat hanya dengan bot bukan manusia udah ada feesible ribu tiap bulan tapi pelayanan makin mengecewakan bye jenius saya tidak lagi menjadi nasabah anda,1,negative,negative
Aplikasi keterlaluan berat,aplikasi keterlaluan berat,1,negative,negative
App is INCREDIBLY SLOW,app incredibly slow,2,negative,negative
aplikasi e-wallet rekomendasi! Memudahkan saat membayar spotify,aplikasi ewallet rekomendasi memudahkan saat membayar spotify,5,positive,positive
"Aplikasi yang sangat bagus dengan aktivasi yang mudah, serta desain UI UX yang Simple sangat memudahkan pengguna untuk memgaksesnya",aplikasi yang sangat bagus dengan aktivasi yang mudah serta desain ui ux yang simple sangat memudahkan pengguna untuk memgaksesnya,5,positive,positive
"aplikasi keren banget!!! karena selain memudahkan mobile banking, tempat yg safe buat nyimpen duit. pokoknya mah cinta bgt, mudah juga aktivasinya 🤩✨",aplikasi keren banget karena selain memudahkan mobile banking tempat yg safe buat nyimpen duit pokoknya mah cinta bgt mudah juga aktivasinya,5,positive,positive
Worst online bank application,worst online bank application,1,negative,negative
Been an early users to this app. But after many changes it is not so comfortable. Sorry need to switch to another one with better offer and service,early user app many change comfortable sorry need switch another one better offer service,1,negative,negative
Lelet bgt,lelet bgt,2,negative,negative
Aplikasinya yg skrg lemooooooootttttttt bangeeeet 😭,aplikasinya yg skrg lemooooooootttttttt bangeeeet,2,negative,negative
"aplikasi perbankan paling kece,gak akan menyesal pake apps jenius",aplikasi perbankan paling kecegak akan menyesal pake apps jenius,5,positive,positive
Aplikasi bank digital yang sangat baik dan mudah untuk digunakan.,aplikasi bank digital yang sangat baik dan mudah untuk digunakan,5,positive,positive
"After 4 years of waiting, still no improvement. I try to give them a second chance but, still disappointed. Should've known better. If you want people to use the apps, don't just offer it in the mall, improve the apps! Because for people who have use it for a long time. This is unacceptable.",year waiting still improvement try give second chance still disappointed shouldve known better want people use apps dont offer mall improve apps people use long time unacceptable,1,negative,negative
Tolong di maintenance agar aplikasinya lebih sat set sat set ga lemot,tolong di maintenance agar aplikasinya lebih sat set sat set ga lemot,4,positive,positive
"Ga nyesel deh Pake Jenius, aplikasi yang bagus untuk nabung, mantap",ga nyesel deh pake jenius aplikasi yang bagus untuk nabung mantap,5,positive,positive
"Aplikasinya bagus, dengan jenius gue bisa aktifkan Paypal dan proses registrasi jenius juga enggk ribet..",aplikasinya bagus dengan jenius gue bisa aktifkan paypal dan prose registrasi jenius juga enggk ribet,5,positive,positive
"GK nyesel download apk ini E-wallet Paling mudah dimengerti,gampang juga dipakenya 🥰",gk nyesel download apk ini ewallet paling mudah dimengertigampang juga dipakenya,5,positive,positive
"ini adalah e wallet yang sangat praktis dan aplikasinya bisa berjalan dengan baik dan cepat. dan menggunakan jenius, kita bisa melakukan topup untuk berbagai hal",ini adalah e wallet yang sangat praktis dan aplikasinya bisa berjalan dengan baik dan cepat dan menggunakan jenius kita bisa melakukan topup untuk berbagai hal,5,positive,positive
"aplikasi mobile banking yang mudah, aman, sudah diawasi OJK dan dijamin LPS. bisa melakukan transaksi dengan mudah dan cepat.",aplikasi mobile banking yang mudah aman sudah diawasi ojk dan dijamin lp bisa melakukan transaksi dengan mudah dan cepat,5,positive,positive
"Mba mba jenius bikin kecewa wkwk... aku udah bilang loh hapeku memorinya penuh dan nggak bisa, walaupun aku willing buat bantu. Tapi dia uninstall beberapa aplikasi yang penting dan nggak ijin ijin wkwkwkw..... padahal aku punya editan video kuliah di capcut yang belom aku selesaiin, tapi malah diuninstall demi dia ngejar target :)))) Gimana nih mbak, tanggung jawabnya",mba mba jenius bikin kecewa wkwk aku udah bilang loh hapeku memorinya penuh dan nggak bisa walaupun aku willing buat bantu tapi dia uninstall beberapa aplikasi yang penting dan nggak ijin ijin wkwkwkw padahal aku punya editan video kuliah di capcut yang belom aku selesaiin tapi malah diuninstall demi dia ngejar target gimana nih mbak tanggung jawabnya,1,negative,negative
Saya diminta untuk update aplikasi... tapi setelah update tetap tuh diminta untuk update padahal sudah versi terbaru,saya diminta untuk update aplikasi tapi setelah update tetap tuh diminta untuk update padahal sudah versi terbaru,2,negative,negative
I can't open the app,cant open app,1,negative,negative
aplikasi ampas.,aplikasi ampas,1,negative,negative
Astaga unlinknya lama bgt,astaga unlinknya lama bgt,1,negative,negative
Application really slow respon. It take a lot of time just to jump from page to page,application really slow respon take lot time jump page page,3,neutral,neutral
"Aplikasi mobile banking yang sangat bagus dan rekomendasi, aktivasi yang mudah dengan UI UX simple",aplikasi mobile banking yang sangat bagus dan rekomendasi aktivasi yang mudah dengan ui ux simple,5,positive,positive
user friendly and i really love the UI UX design. this is a good app for ewallet and mbanking,user friendly really love ui ux design good app ewallet mbanking,5,positive,positive
"Feesible yang di website seharusnya ditarik 10rb perbulan jadi 30 rb perbulan. Mau tutup akun tapi tidak bisa karena Call center diam. Tekan 0 setelah menelepon 1500365, malah tidak bisa. Feesible terus terakumulasi ke bulan berikutnya jika saldo kurang dari itu.",feesible yang di website seharusnya ditarik rb perbulan jadi rb perbulan mau tutup akun tapi tidak bisa karena call center diam tekan setelah menelepon malah tidak bisa feesible terus terakumulasi ke bulan berikutnya jika saldo kurang dari itu,1,negative,negative
Aplikasi yang much banget pakainya. Meaning nya cepat Dan e-wallet terpercaya❤,aplikasi yang much banget pakainya meaning nya cepat dan ewallet terpercaya,5,positive,positive
Aplikasi yang aman buat simpanan,aplikasi yang aman buat simpanan,5,positive,positive
Aplikasi online terbaik,aplikasi online terbaik,5,positive,positive
Can't log in,cant log,1,negative,negative
Slow UI,slow ui,2,negative,negative
Jlek yg gk serius malah d acc yg mau serius gknd acc pinjaman,jlek yg gk serius malah acc yg mau serius gknd acc pinjaman,1,negative,negative
sering lemot ya,sering lemot ya,3,neutral,neutral
"Bye, sejak ada feesible 10rb",bye sejak ada feesible rb,1,negative,negative
Aplikasi paling bikin kesel dan naik darah,aplikasi paling bikin kesel dan naik darah,1,negative,negative
Aplikasi sering maintenance jadi kesulitan transfer dana. Dana cukup dibilang insufficient fund.,aplikasi sering maintenance jadi kesulitan transfer dana dana cukup dibilang insufficient fund,1,negative,negative
"apps super lemot, mau bayar pake QRIS jg lemot mulu, bikin malu karena ga enak ama antrian lain yg mau bayar. ga kaya BCA baru nongolin kamera QRISnya lgsunh cepet pembayaran ga pake lemot",apps super lemot mau bayar pake qris jg lemot mulu bikin malu karena ga enak ama antrian lain yg mau bayar ga kaya bca baru nongolin kamera qrisnya lgsunh cepet pembayaran ga pake lemot,1,negative,negative
Aplikasi ini sangat membantu dan mudah diaplikasikan saat digunakan,aplikasi ini sangat membantu dan mudah diaplikasikan saat digunakan,5,positive,positive
Sistem perbankan yang bagus,sistem perbankan yang bagus,5,positive,positive
"I already use this aplication, but now after i change my phone, i can't loggin, after verification the sesion has expire and automatic logout",already use aplication change phone cant loggin verification sesion expire automatic logout,4,positive,positive
Can't even register.,cant even register,1,negative,negative
bagus banget apk ini,bagus banget apk ini,5,positive,positive
ngirim kode otp aja lama,ngirim kode otp aja lama,1,negative,negative
"Aplikasinya makin berat Sekarang jadi ada pop up setiap login, info otp atopun promo, sangat menggangu karena bener2 tiap login Experience nya jadi gk bagus",aplikasinya makin berat sekarang jadi ada pop setiap login info otp atopun promo sangat menggangu karena bener tiap login experience nya jadi gk bagus,2,negative,negative
"Aplikasi perbankan yg sangat kekinian, mudahnya saat aktivasi dengan cara online lewat video call pun bisa, UI/UX yang simpel gampang banget buat dimengerti, semuanya udh all in one dr mbanking, menabung, debit card, sampe e wallet buat top up netflix sm spotify jg bisa. pokonya the best buat ngatur financial kita dan pastinya safe dan aman dong.",aplikasi perbankan yg sangat kekinian mudahnya saat aktivasi dengan cara online lewat video call pun bisa uiux yang simpel gampang banget buat dimengerti semuanya udh one dr mbanking menabung debit card sampe e wallet buat top netflix sm spotify jg bisa pokonya best buat ngatur financial kita dan pastinya safe dan aman dong,5,positive,positive
Ga bisa log-in woy. Nyangkut nih duit,ga bisa login woy nyangkut nih duit,1,negative,negative
Aplikasi ini sangat bagus dan bermanfaat sekali,aplikasi ini sangat bagus dan bermanfaat sekali,5,positive,positive
Good good good,good good good,5,positive,positive
App keep closing by itself when I tried to open credit card information. Please fix a.s.a.p,app keep closing tried open credit card information please fix asap,2,negative,negative
Kasian bintang nya jelek,kasian bintang nya jelek,5,positive,positive
"Kacau sih. Kacauuu. Gw transfer uang malah nyangkut berhari2. Ga tahunya bukan punya gw doang, temen kantor gw juga. Dua kali malah. Ada apa denganmu jenius?",kacau sih kacauuu gw transfer uang malah nyangkut berhari ga tahunya bukan punya gw doang temen kantor gw juga dua kali malah ada apa denganmu jenius,1,negative,negative
"pake jenius dulu karna gak ada biaya admin. pas ada biaya admin makin jelek. app berat, gak cocok di hp 2 gb aaplagi 1 gb. admin 10 rb bagus pilih bank lain yang jelas-jelas kantor fisiknya buanyak. belum lagi cs btpn di daerah yang judesnya minta ampun kalo sudah mintol soal jeniuss",pake jenius dulu karna gak ada biaya admin pa ada biaya admin makin jelek app berat gak cocok di hp gb aaplagi gb admin rb bagus pilih bank lain yang jelasjelas kantor fisiknya buanyak belum lagi c btpn di daerah yang judesnya minta ampun kalo sudah mintol soal jeniuss,1,negative,negative
"karena ganti hp, aplikasi jenius tidak mau login di hp yang baru. selalu ada tulisan ""Your Session has expired. you are now logged automatically"". padahal juga baru login. dan ini sudah bercobaan login yang kesekian kali ya. payah👎👎👎",karena ganti hp aplikasi jenius tidak mau login di hp yang baru selalu ada tulisan session expired logged automatically padahal juga baru login dan ini sudah bercobaan login yang kesekian kali ya payah,1,negative,negative
ini kenapa connection interupt .u ya???? kayanya dari terakhir pakai jenius masalah. ya msh sama terus beberapa tahun yg lalu dr awal2,ini kenapa connection interupt u ya kayanya dari terakhir pakai jenius masalah ya msh sama terus beberapa tahun yg lalu dr awal,1,negative,negative
"Chat cs dengan darkmode masih tidak terlihat text nya. Sudah mau 6 bulan masih tidak dibetulkan. Chat juga tertutup terlalu cepat. Kalau posisinya kita sedang menunggu, seharusnya tidak bisa tertutup otomatis. Karena jadinya proses ngulang lagi krn dapat cs berbeda. Promo cicilan 12bulan tidak muncul di aplikasi, meskipun sudah versi terbaru",chat c dengan darkmode masih tidak terlihat text nya sudah mau bulan masih tidak dibetulkan chat juga tertutup terlalu cepat kalau posisinya kita sedang menunggu seharusnya tidak bisa tertutup otomatis karena jadinya prose ngulang lagi krn dapat c berbeda promo cicilan bulan tidak muncul di aplikasi meskipun sudah versi terbaru,1,negative,negative
why do I keep running out of session and automatically logged out when I'm trying to login?,keep running session automatically logged im trying login,5,positive,positive
"Sumpah mau kirim, atau klik klik menu kenapa lemot banget, pengen banting HP aj",sumpah mau kirim atau klik klik menu kenapa lemot banget pengen banting hp aj,3,neutral,neutral
"Bertele tele dan lama , verifikasi ga jelas udah videocall malah ga dapet verifikasi ..ga jadi bikin kalau begini, kocak!",bertele tele dan lama verifikasi ga jelas udah videocall malah ga dapet verifikasi ga jadi bikin kalau begini kocak,1,negative,negative
"Aplikasi terlalu LELET !! Aplikasi Bank Lain dibuka/dijelajah klik sana klik sini dlm hitungan sepersekian detik lsg terbuka, ini klik 1 windows/menunya z butuh hampir 2-3 menit baru bisa terbuka ( itupun ud paling cepat) Harap cek kembali, mengapa khusus Jenius bisa selemot ini ??",aplikasi terlalu lelet aplikasi bank lain dibukadijelajah klik sana klik sini dlm hitungan sepersekian detik lsg terbuka ini klik windowsmenunya z butuh hampir menit baru bisa terbuka itupun ud paling cepat harap cek kembali mengapa khusus jenius bisa selemot ini,1,negative,negative
